,content,score
0,挺好的吧，就是老是发热,1
1,京东自营也就是快，别的是一点优惠也没有啊？,1
2,手机很好，就是这平台不行,1
3,手机没什么问题，都还可以，,1
4,打游戏一直断流,1
5,前置摄像头进灰。我能说什么,1
6,应该是全新的吧,1
7,赠送的充电宝没有，谢谢,1
8,刚玩一会自动重启    心好累,1
9,非常不错的手机喽，小米永远值得信赖，我是米粉。,1
10,这一个星是给猴群的呢。,1
11,刚买的，用几天看下，在评价,1
12,对小米活动失望了，手机还是可以的，性价比还算不错,1
13,双卡双待单通是我一生的痛。,1
14,购买失望,1
15,拿到手拍照的时候为啥一直频闪？,1
16,手机没问题但是最让我气的是竟然给我拆箱了。,1
17,这部手机被激活过，联系客服白搭,1
18,电池是真不耐用，价格是降真快,1
19,手机收到，速度很快，但是赠品已经第五天还没开始发，辣鸡,1
20,插口上下左右晃动，我不知道属于正常现象还是品控问题。,1
21,差评是给京东馆驿街配送站的，超级墨迹。手机还好，用着还不错。,1
22,小问题非常多，会一直息屏,1
23,一般吧,1
24,手机运行很流畅，值得购买。给差评主要是京东辣鸡,1
25,买这手机算我栽跟头了，辣鸡玩意,1
26,第一天就这样！    看看过几天怎么样吧,1
27,真好，wifi根本就连不上，真棒！,1
28,特别失望，买早了，一加联想vivo性价比都更好，反正大家别买了，还玩饥饿营销，真是没意思。,1
29,耍猴技术一流，中午加购物车，过一会儿恢复原价，晚上再降价。,1
30,物流挺好，手机各种问题，都是共性问题，都别买了！,1
31,续航是真的菜，又很快发烫,1
32,移动定制版开机画面low到！！！！！！！！！！,1
33,小米，依然是为发烧而生，并且刚才用小爱同学的时候卡机重启了一下,1
34,手机不错，6月8日购买的，6月18日就降价200元，京东在购机时承诺价格保护，希望能够履行承诺，保障消费者合法权益！,1
35,一般般吧,1
36,有很多问题,1
37,话不多说,1
38,狗屎,1
39,也许这是尊享WIFI版吧，电话卡这种低级东西，不需要,1
40,手机不错，1星给京东物流吧。。。早上8点下的单说是下午3点到，总共100公里的路程愣是给我第二天才送到,1
41,真好用。,1
42,兄弟买手机吗？先给钱再生产的那种,1
43,618降价真多，日,1
44,玩刺激战场贼爽，米酒真香！,1
45,其他都可以。使用之后。一天得充两回电。,1
46,这个手机问题很多，各种小问题，用起来真的不方便！！！,1
47,我的京东手机卡呢？手机刚买回来，就出毛病让我重新恢复出厂设置了一次。,1
48,一星给快递小哥,1
49,很一般,1
50,光死机啊！,1
51,小米9体验挺好的，老公好喜欢！差评给京东客服，价保总是各种理由推脱不给价保，可以说在京东购买东西价保是没有保障的，所谓的价保等于没有，京东没有什么诚信可言，说到底就是#！这方面~~就做得比较完善很多！,1
52,失望,1
53,电池是真的****,1
54,电池掉的飞快，还是我关闭了官方广告，谷歌服务后,1
55,买了送人的，挺不错。,1
56,颜值好看，但电池及不耐用，小米的悲哀，不建议购买。,1
57,不知道该怎么喷，性价比高你也不能这样吧。。。,1
58,?开心,1
59,无力吐槽,1
60,放在裤裆里会自动解锁  神了,1
61,这个是移动定制版的，大家买的时候要擦亮眼睛。,1
62,没有送移动电源之前说送的，手机耗电挺快的。,1
63,手机bug较多，从四月9号一直辗转到现在，一直都是GPS定位故障，换了新的，不抱期待了，,1
64,26上午十点零一分拍的，四月二号到的，服气，而且用的时候插耳机以后莫名其妙会打开音乐我也不晓得为什么，挺好看的就是,1
65,48MP过暴严重,1
66,19号买的，今天到的，牛皮,1
67,什么都好 可惜会断流,1
68,真的不想评论，打字还能给豆，手机是个好手机，买个手机把自己搞得不高兴。,1
69,电池耗电像流水一样，一天三充，其他方面还可以,1
70,电池充的快，用的也快。 总之辣鸡的一比,1
71,拍照像素还可以就是拍照很丑，比OPPO差远了,1
72,电量消耗太快，第一次买小米，下次准备买华为了，两个字辣鸡！,1
73,真香,1
74,充电手机特别烫&hellip;&hellip;醉了,1
75,花高价买个防窥膜，回来发现没屁用，跟普通膜一样，之前苹果的很好用，这个一点用没有,1
76,第一次买小米，话不多说。。。数星星,1
77,卡机,1
78,喔 快递确实没得说 拿到手机外面包装膜都是坏的我真是服了 不过手机是好的 用着确实挺舒服的 用断时间来看看,1
79,和8在性能上没什么区别，你买了小米的手机，就等于被小米垄断了。什么地方都可以看到小米的广告。都做到输入法上来了。,1
80,耗电超快。性能再好也白搭,1
81,有赠品不支持保价，真是够可以的！一下降了300多,1
82,耳机都没有，手机不错,1
83,还未送到,1
84,玩了一个小时，80的电变成47，呵，第一次买小米。,1
85,想了好久才抢到了，现在终于现货了，但是小米现在还行吗？如果不溢价的话，还有谁会去买小米呢？还是去买iqoo吧,1
86,~无GPS信号,1
87,相机除了美颜还可以。瘦脸，塑形等功能好像并没有什么用。,1
88,帮室友买的，还行吧，主要是抢到了要等不爽，还有说颜色太丑了,1
89,好评没人看，总的来说非常好，其他人说的话都是基本上是水军，,1
90,真的是是假，内屏居然有破损。,1
91,刚买完就降价,1
92,才买几天就降价了。,1
93,留给带了一个这样的膜，怎么用，而且还没有耳机，无线充电器我就不奢望了，屏幕膜和耳机总应该有吧，就一裸机，差评差评差评差评差评！,1
94,打游戏一直断流,1
95,手机手感很好，速度还不错，就是真电池，闹着玩了，什么东西，一天跑电，那个手机是这样，还旗舰，不是我黑小米，我很喜欢小米，但是这小米9买的真后悔，以后再也不买小米了，,1
96,"外形外观：米9外观非常漂亮，买的这款宝蓝色的在阳光下非常漂亮，美轮美奂，非常讨喜
屏幕音效：很遗憾，米9的品控真的让人失望，拿到手的这一个屏幕有问题，屏幕中间居然有玻璃裂开？？？好在是在京东自营买的，京东处理来还比较省心，但是这一次618的物流居然外包给其他物流公司，上门取件早就取件了，但快递员居然一直不在后台操作进行，一直卡在取件一两天，后来要我打电话客服投诉才解决，才操作醉了，体验真差，这样的物流体验和其他电商同有何区别，请京东一定要重视，不要把自己的品牌口碑弄没了，那就很难再建立起来了
拍照效果：拍照效果很不错，当然比不上华为高端机，价格摆在这呢
运行速度：855不是吹的，真的非常棒，非常流畅，加上MIUI加持，真的很棒。
待机时间：虽然电池容量很小，但日常用起来正常的一天一充，表现很不错。",1
97,手机第一天屏幕陀螺仪出现问题，更新系统后屏幕出现抖动现象,1
98,买了不到一个月，降价300块，客服说不能给价保，手机电量用的真心快玩游戏最多3个小时就没电了，一天3充是最基本的，以后不会选择在京东购买,1
99,请大家擦亮眼睛   我买了半个月手机就坏了  从来没有评论过   小米9,1
100,"电池超级不耐用，无电话待机5小时25%电没了。一下不玩的情况这样。玩个农药打一把7%-10%电量，还不是效果全开。指纹解锁设置了之后还是可以直接划开，密码锁都是摆设！！

   从来没对小米如此失望过，这么多年网购，第一次差评！！！",1
101,刚到手续航崩溃了   惨不忍睹  最差的一次手机体验,1
102,之前用过两个小米手机，感觉还挺好用的，这次也果断买了小米9，结果这次真的很让人失望，经常软件用着用着就无响应卡了，网络经常用不了需要重启手机后就可以用了，总之这次特失望,1
103,充电慢！耗电快！指纹识别就是一坨si！有时还莫名弹个小米视频出来。真心垃圾手机。还不如我之前的米6。,1
104,给一星是因为一星最低。手机读取不了SIM卡，你说气人不？,1
105,为什么用电那么快？,1
106,刚买一个多月，今天突然白屏,1
107,京东卖二手手机，我刚买的手机屏幕有指纹，京东信用何在，二手货当新机卖，京东你脸在屁股里吗，我没法晒单一晒单就告诉我审核不通过，把我评价全部删除，京东已经不是一次这样做了，谁不信试试差评+晒单保证审核不通过删除你全部评价，买手机还是去实体店好点贵几百至少是新机器，京东购买给你邮过来的手机是新的，二手的你都没得选，对吗,1
108,中间出现了很多问题，偶尔黑屏，照相页面点相册黑屏，自己自动关机，打完电话想按结束健，发现整个屏幕是黑色，只能等对方挂，距离感应器也是随他自己心情，贴耳朵上了还在那亮着，一直信赖的京东出售这样的仪器，也是很寒心，自认倒霉了，再买这种商品一定不在京东买了,1
109,才用几天手机指纹解锁不灵 &hellip;&hellip;主要是这态度我受不了,1
110,好久没用过小米了，原本很期待的。其他都可以，但是会断网，这个很烦,1
111,掉电快，是真的快，并不是使用掉电快哦，而是待机掉电快，快到你感到惊讶,1
112,不想说什么，手机很好，这一颗星是给京东的，自己干的事自己心里清楚！,1
113,京东厉害。物流真棒。感谢京东，2570到手。小米手机可以，系统不行，么有锤子的系统好用、广告，内置无用软件太多了~另外小电池，一定要掂量好。等锤子出新机就回归Smartisan OS。,1
114,我真#服了，用了两天，感觉不错，然后现在给我出事，所以游戏显示连接失败，其他应用好好的，就游戏玩不了,1
115,不支持北京一卡通了（只支持京津冀一卡通，兑换的充值码用不了了），如果支持立即改五星好评,1
116,手机不错  客服没有一个活人  好几个时间段找了好几次  只有一个复读机机器人 既然找不到活人那让ta亲自找我吧,1
117,最痛恨饥饿营销，小米多少年了，还是这样，,1
118,用了两天就黑屏小米8从没遇到过这种情况，我也是老米粉了用了四年小米手机，希望能尽快解决这件事情，给三星了,1
119,一分是给耍猴雷，都9012年了，还要抢，抢完还要等好几天(??)，米9我给五分，京东服务五分，米9还是不错了，这个就是为什么我选了红米note7Pro的原因。。。哈哈哈哈,1
120,SIM卡放在小米5上，网络很好，换到新买的小米9上，网络卡到不行儿.....,1
121,我是蛮期待拿到这个手机的，我在这个店里买了五个手机了。没想到这次竟然会这样，,1
122,外观还可以  但是电掉的太快了   省电模式也很快  包装盒都这样了  体验效果很差,1
123,"玩王者最高画质发烫,
玩儿量子特工发烫,
你这应该算是个高端机了吧？
呵呵了个呵呵。",1
124,神一般的优化，只为了能让你更流畅更快捷，的看到更多的广告，这就是小米！无广告不小米。,1
125,物流很快，快递小哥服务态度很好。手机还没用，没有图片上好看。垃圾的销售平台，显示赠送无线充电宝+数据线赠完为止，下单的时候没有任何提示，没有提示赠品已送完及剩余数量。收货后发现没有赠品。,1
126,用了一周，很流畅充电速度也很快，第一次用小米转粉了，发货太慢，抢购等了四天。,1
127,耗电耗电耗电呐，在线看视频最多5小时多。真不知道它那比4200毫安好的结论怎么来的,1
128,快递包装和送货服务都很可以，手机刚买回来后使用了人脸识别，当时很快就录入成功，但是后来系统更新后人脸识别无法录入，总是失败。（寝室另一位同学也是小米9他的就可以录入人脸）,1
129,手机很是可以的，但是我还是给差评！?????耍猴真的很好玩！,1
130,#手机，第一次用小米手机，直接是太失望了，有的软件点开，直接黑频，我才用几天。就这样，特别不满意的一次购物,1
131,手机充电线充不了电了，坏了,1
132,辣鸡，辣鸡，买了就降价，还不到半个月就降价了，都是套路，以后不要在京东买了,1
133,只能说自己运气不太好，打字真的是太有问题了，果断退货了，烦恼，希望再购买的时候别有任何问题了,1
134,买完刚好一周降价200 找客服 客服让申请保价失败了就不管 连个优惠券都不补偿,1
135,别说了，半个月不到，你给我降价两百，我还能说什么,1
136,垃圾手机，待电贼差。,1
137,"本人米粉，K20出来的时候，抢购了个K20，结果打电话对方听不到声音，果断退掉，过段时间有朋友说小米9移动版的在搞活动，觉得很划算就买了一个，外观很漂亮，刚开始也把自己美了一阵子，想着买移动版的比普通的便宜了好几百，但是有些问题，我用的是联通的手机卡，单卡，打电话时自动降为3G，有的时候会断流，网上查了下，小米的普遍现象，想想我也是从小米1用过来的，以前没有出现过这种情况，还有个严重的情况是，发热太厉害，本人不玩游戏，只是看视频，手机烫得不行了，有的时候啥都没用，手机就很烫，电量哗哗的掉，一会儿就没电关机了，不出问题的时候电量也不够用一天，我一般只用**，QQ,听喜马拉雅，**，QQ都是电脑上登着的，手机用的频率也不高，不明白为什么电池这么不耐用。想退货可是刚用到一个月零几天，我想问到底是小米质量做差了还是我运气这么差，两次都碰到了？",1
138,买完一周降二百，谁的钱也不是大风刮来的呦。以后惹不起了,1
139,第一次用小米 选择了米9  一开始觉得挺不错的  但是现在发现 别人打不进来电话 老是说我手机关机  然后 QQ里用前置摄像头 会卡  我也不知道是系统的原因 还是什么  反正现在挺失望的,1
140,快递速度是快，包装和服务也不错，但是手机本身使用了没几天就出毛病了，经常自动重启，在网上查了一下，也有一些人遇到了自动重启毛病，希望其他人买的时候参考一下。,1
141,首先小爱同学挺不错的，拍照也可以，但是摄像头真的是太突出了，带了自带的手机壳摄像头依然突出，电池也不耐用，晚上前还剩下二十多的电，早上起来手机自动关机了，电量充足的时候一晚上也耗十几的电量，另外一个就是手机放在那里不动自己也会亮屏。,1
142,手机使用没有雷军说的那么好，手机也会卡顿。连刚刚登飞猪都卡了。希望小米继续加油吧。,1
143,这手机真的很棒很棒哦，口袋掉了一下，直接主板屏幕全碎了，钢化膜直接完好无损，直接隔山打牛，质量好的一匹。感谢京东让我用3300体验两天小米，并且承担790维修费用，蟹蟹,1
144,物流挺快的，手机体验很差，拍照还可以，系统流畅，但是时常网络短流，真的很一般,1
145,开放购买后，配送速度是挺快&hellip;&hellip;说说手机最大的缺点！电池不够用！屏下指纹解锁不快，面部解锁挺快！唉&hellip;&hellip;就是电池很**！！！一星,1
146,第一次用小米 选择了米9  一开始觉得挺不错的  但是现在发现 别人打不进来电话 老是说我手机关机  然后 QQ里用前置摄像头 会卡  我也不知道是系统的原因 还是什么  反正现在挺失望的,1
147,物流很快第二天就到了，如果不是之前的米8坏了经济条件不允许，我绝对不买米9，怎么说把3300的电池小了电我个人还是够用。更大运行，更流畅的手机让你看更多的广告充电很快，无线充电也很方便，手机挺好看的。最大的问题是不管我说看斗音，刷快手，打游戏，用的WiFi，电信，联通，都会有断流的情况，为什么我也不知道，但是我希望能把这个优化一下。,1
148,"外形外观：米9外观非常漂亮，买的这款宝蓝色的在阳光下非常漂亮，美轮美奂，非常讨喜
屏幕音效：很遗憾，米9的品控真的让人失望，拿到手的这一个屏幕有问题，屏幕中间居然有玻璃裂开？？？好在是在京东自营买的，京东处理来还比较省心，但是这一次618的物流居然外包给其他物流公司，上门取件早就取件了，但快递员居然一直不在后台操作进行，一直卡在取件一两天，后来要我打电话客服投诉才解决，才操作醉了，体验真差，这样的物流体验和其他电商同有何区别，请京东一定要重视，不要把自己的品牌口碑弄没了，那就很难再建立起来了
拍照效果：拍照效果很不错，当然比不上华为高端机，价格摆在这呢
运行速度：855不是吹的，真的非常棒，非常流畅，加上MIUI加持，真的很棒。
待机时间：虽然电池容量很小，但日常用起来正常的一天一充，表现很不错。",1
149,快递小哥服务很好  包装也没啥大问题  手机盒边角有一点点磕碰的痕迹  拆开了手机很好用  充电很快   但是！数据线的做工明显很次  又硬有粗糙 而且连接手机插卡的那头竟然是歪的！歪的！很难受,1
150,"使用一段时间后的感受
1：外观很好看，大屏幕看着很舒畅
2：手机有时候会卡
3：用美颜相机录视频的话这个软件录完视频是卡顿的
4：全面屏要仔细用，摔了内屏很容易碎，我已经换过一次屏幕了
5：手机一不小心就会让你下载你不想下的软件
未完待续，总体不是特别满意。",1
151,手机非常不错，但是好评太多了，大家都看不到我，于是我就想到了这个办法，我是米粉，大家别打我,1
152,我只想知道这WIFI断流问题怎么回事,1
153,联系客服从来不回消息,1
154,手机没收到，只能晒物流信息了,1
155,又降价了，烦人吧！一降降100,1
156,手机开关键总是不管用,1
157,包装不好，手机包装盒还有凹点,1
158,答应的东西都没给。京粉50元卡没给,1
159,手机包装盒上面有褶皱，手机一般,1
160,发货太慢，但是手机还行,1
161,"刚买就降价，日。。。
服了小米了",1
162,手机出现自动关机的问题,1
163,刚买不久就降了两百，真他马的可以,1
164,刚买就降价了，问客服也说不知道,1
165,京东已经不是以前的京东,1
166,把水滴换成了奶嘴这个不好,1
167,刚买一个多月，今天突然白屏,1
168,过分哦，买了没一个礼拜就减价了，糟糕,1
169,买个手机，耳机都没有的。。。。,1
170,说好的无线充电还额外收费？,1
171,一买就降价200了，有点不值,1
172,快递不能按时送达！,1
173,手机拍不了视频,1
174,才两个月现在失零了,1
175,一星给京东服务，其它都还好。,1
176,不防水，手机坏了,1
177,摄像头不平整有倾斜,1
178,有点失望，拍照十几厘米拍不清楚,1
179,买了差不多一个多月，现在还死机,1
180,发烧，指纹不灵敏,1
181,售后换机 没给回我无线车充,1
182,说好的双频GPS，信号差的要死，,1
183,手机玩游戏充不上电,1
184,服务态度不好，三十我是米粉，喜欢小米,1
185,玩游戏卡退好几次了,1
186,买来才几天就降价了,1
187,整个手机都弯曲了,1
188,为什么用电那么快？,1
189,才买几天就降价了。,1
190,手机信号满格网络就是上不去,1
191,说保修结果还要花钱,1
192,昨天刚买今天就降价,1
193,电量是在是太差劲了 其他不错,1
194,页面显示有的赠品不给发不知道是为什么,1
195,真的是是假，内屏居然有破损。,1
196,谁能给我出来给我解释一下！,1
197,为什么有三个孔是堵住的,1
198,为什么在京东自营店买的手机发票都没有？,1
199,才买了5天就降价了，过分了！,1
200,买来第三天死机了，然后退货了。,1
201,为什么我的小米9屏幕上有小黑圈,1
202,耳机孔都没有，唯一缺陷,1
203,买几天就降价200，你耍猴呢？,1
204,真的不上说什么了，前天买的，今天就降??,1
205,MD，我才买了几天，又给我降价。,1
206,卖不到一个月，就免费送无线充电器,1
207,快递没得说，质量跟售后不敢恭维,1
208,包装里面填充物都没有，都不是送货到家的。,1
209,打开个~竟然黑屏了,1
210,收到开不了机，退货又没人来取,1
211,才买了一个月就开始送东西了，果然买的早没好处,1
212,竟然拿个坏的转接头给我,1
213,服了，我刚买没多久，各种活动就都有了,1
214,就一部手机连耳机都没有,1
215,摄像头有灰透明机身有灰,1
216,说的赠品和主打品一起发货，结果没有收到赠品,1
217,服务态度真的差，一直就没人搭理你都是机器人,1
218,换了一次货，摄像头还是有轻微磕碰。,1
219,还不如实体店呢说好的赠品都没有还是实体店好些,1
220,除了像素好 系统会卡顿 哎,1
221,该商品色差过大，体验极其不好,1
222,东西还是可以，但是没买多久，商品就降价了，伤心的啊,1
223,除了手机其他赠品全不能用,1
224,刚买完没几天就降价，靠,1
225,手机充电线充不了电了，坏了,1
226,几天就降价了，明明写了保价，却不可以,1
227,才买没几天就降价也是服了,1
228,用了十几天摄像头突然出现异物，伤心。,1
229,一发烫手机触屏就断触，不愧是发烧手机,1
230,买了一个月不到，降了二百，还不能保价，不舒服,1
231,耳机都没有买什么,1
232,才用没几天这个关机键就有点不好按了,1
233,感觉手机用的不爽,1
234,刚买几天就降一百、以后还是会再降价,1
235,坐等客服上线退货,1
236,卡机两次了，受不了,1
237,有几个小问题，退了,1
238,耳机不行客服赖账，,1
239,标准配置都达不到,1
240,没有送无线充电宝,1
241,小米九真的不好用,1
242,客服服务态度差,1
243,为什么不配耳机,1
244,产品不错，不过中间别的都是快递员的错，所以差评,1
245,买不到一个月就开始送充电宝,1
246,买完第二天降，优秀,1
247,十天不到降价了，还不能保价,1
248,电池不耐造，一天充两次,1
249,没有说的那么好，不值那么多钱,1
250,服了，616买的说全程价保，然后618有优惠券不给价保？,1
251,没送耳机钢化膜，不开心,1
252,不卡，就是没啥送的钢化膜都没用,1
253,手机很好，但是没有耳机，我不喜欢,1
254,刚买就降价，申请报价还不通过，绝了，生气。,1
255,服务态度不好，不是说有价保的结果我的就没有价保,1
256,买了没几天就开始降价，和魅族一个尿性,1
257,手机右上角油漆脱落真怀疑是不是翻新机！！！,1
258,新到手机开不了机，充不进去电。,1
259,用久了卡，不仅手机卡，网也卡,1
260,买来10天还没用降价3佰，不保值，还不能退,1
261,贵重物品都不填充东西的啊，手机外包装有明显的破损,1
262,大家千万不要上当买了用了一天卡了三回,1
263,断流断流断流！！重要的事情说三遍！,1
264,感觉一般，重点是物流真的不行！！！,1
265,视频模糊，问客服告诉~的问题，我也是服了,1
266,刚买几天就降300还送无线充。。。。。不是说618全程保价吗？？？？？？,1
267,前置摄像头不能正常使用。服务沟通  不来,1
268,手机信号好差看个视频网卡,1
269,一次另人不愉快的购物，连小米官网的福利的不如，失败！不爽！,1
270,前天刚买今天就降价，怎么搞哦,1
271,老是黑屏，是不是赶工的都不好，,1
272,不好会自动关机，返修后看一下吧。,1
273,等了一周才发货,1
274,用的我想吐，动不动就卡死,1
275,打王者总是闪退,1
276,买了10天不到就降价100个钢G。。。。。极度不爽！,1
277,不是送无线充电器吗,1
278,刚买两天，就送充电宝了，不爽,1
279,真辣鸡。手机有时候没信号,1
280,看~里面的字都显示不完全。,1
281,QQ的APP登录之后会有卡屏和白屏的现象出现。,1
282,差！！！刚买没几天就降价了400块！,1
283,第一次买小米，为什么耗电这么快？,1
284,说好的送充电宝，一直不发货，订单直接取消了？？？,1
285,到货一周降价，买的红米，到货2天降价，，想死啊,1
286,买了8天才到货，自己看着办,1
287,额，小米的手机用了很多。现在连耳机都不送了？？？？,1
288,像素不行  手机卡顿  不会再买小米了,1
289,感觉手感怎么那么差呢，不会是水货吧,1
290,指纹解锁经常打不开，。感觉有点鸡肋。,1
291,这次最差一次京东购物，四天还没发出一个冲电宝。,1
292,大猩猩玻璃已出现划痕  一个月不到！,1
293,不到一周，死机了,1
294,用了几天死机开不了机，已退,1
295,客服说好的送手机壳和钢化膜，其实并没有~,1
296,破手机，还不如小米8，用着用着就白屏了,1
297,刚买6天就降价了，郁闷。京东能不能退差价？,1
298,断流，网速不好，换几个卡还是那样,1
299,最后悔买的一个手机。刚买小米9不久来一个红米k20性价比比小米9高这么多。,1
300,价格保护是纸糊的吗，说变就变，降了几百块，呵呵！,1
301,打王者总黑屏，真的服了一直黑屏,1
302,为啥我没确定收货，系统自动给我收货了？,1
303,买了两个星期降价了。。。价保只有七天，不是很爽?,1
304,千万不能买京东销售产品不能提供售后保障，产品出现问题需要自己联系商家,1
305,无线充电刚开始怎么放都能充，现在充不了,1
306,没有想像中的那么好,1
307,指纹不怎么好事！！,1
308,黑，买几天就2999 还在让价格保护，送个破礼品值300？,1
309,卡1无法识别，卡2可以，是什么情况？,1
310,手机不错，就是买完就降价了，也不给申请价保，客服也不管，差评！,1
311,手机才用了一个多月，主板就坏了,1
312,什么?⑧手机，听歌听着听着就没声音了，,1
313,东西有挤压 要求退货,1
314,售后服务不到位，客服三句话离不开甩锅，消费者权益得不到保障,1
315,说的无线充电结果不配送无线充电座？,1
316,东西还行，1星送给物流，送的慢，说好的次日送达硬是延误了一天,1
317,赠品呢？几天都不发货,1
318,质量不行，还不如我的小米六，后悔买了。,1
319,感觉不怎么样比我在实体店看的还是有差距,1
320,手C有r候lC有c乐,1
321,买的时候上面有赠品，发来时再问没有了，现在又有了。,1
322,抢购到 七天后才发货 之前没有任何说明 这不是之前在京东购物会遇到的情况,1
323,没有发票，相机照相也不清晰。,1
324,才买一个月就降价了200，,1
325,放电话卡哪出不来，也是服了,1
326,辣鸡，买了就降价，还不支持价格保护,1
327,特别是气，买天没有紫色的，到货第二天就有了,1
328,手机总自己按键，不好,1
329,产品有问题，屏幕有小点,1
330,手机不错，但刚买几天就降价，问客服客服连个解释都没有，说降就降,1
331,我觉得屏幕歪歪的你们感觉到了？这#的是不是假货啊,1
332,可以啊刚买一周就降价,1
333,质量不好，，，准备没有电了还蓝屏还一直闪,1
334,手机品控差，屏幕有黑点，申请换货后还有，,1
335,超差，打游戏没啥感觉,1
336,刚拿到手就 价格就降了200  心碎了,1
337,616买的，618有活动降价申请保价服务还把我京东的红包和优惠券全部全在里面，是不是过分了,1
338,买的时候说送无线钱闪充，买的时候也没说已经送完了了啊,1
339,拉圾，摄像头有问题。,1
340,一个不到月黑屏，#,1
341,手机618当天价格一天多变，2499没及时上车，打算退货，看看其他的牌子手机。,1
342,认真的吗  刚用不到一天  卡下来就这样了,1
343,换货了  原来送的配件都寄过去又回来了  手机膜也舍不得送一张啊,1
344,镜头处竟然有溢胶?,1
345,后盖这个贴片歪了，已经退货了,1
346,连个钢化膜都没有！?,1
347,一个月的时间又便宜了200多块钱。????,1
348,一般般 听筒声音小 还有麦克风声音小,1
349,手机拿来第二天就要更新，结果更新完开机卡住了,1
350,#第三天就自己有声自动重启了,1
351,音质是无法忍受的差呀&hellip;&hellip;,1
352,后盖被人撬开过退换机无疑,1
353,一点保护没有烂成这  没有一点软包,1
354,说是第6代玻璃我就没贴膜用了3天就划了好几道,1
355,买了就跌价！几个意思！,1
356,不送无线充电器，到手看起来也没有那木好看,1
357,声音忽大忽小，有时候无法死机。,1
358,"辣鸡手机
用了不到半个月就死机",1
359,用了一个月不到摔了一次，然后就成这#了,1
360,开机就死机，没法用！去小米体验店买的,1
361,为什么我的手机到了，没耳机，没钢化膜。也是服了,1
362,信号不好，续航也不行指纹解锁不给力,1
363,后盖有黑点，申请换货中，京东物流满分,1
364,不太理想，换了两次还是死机。,1
365,妈的买不到2星期就降价了，呵呵小米！200元啊，还是苹果好,1
366,比想象中的要差太多了，而且配送催促了整整两天才送到手,1
367,透明机身后盖有灰,1
368,Wifi连不上而且耗电也快,1
369,入手不到二十四小时，后盖碎了，不到一个月就降价了??????????????,1
370,该带的东西一个也没带，说好的无线充电宝呢？,1
371,买的手机居然膜都没有？我怀疑可能是别人买了然后退回去的，然后在卖给我？,1
372,不怎么样！有两个刮痕,1
373,使用不到半个月黑屏？nice,1
374,买的时候显示赠送壳膜套装，下单就不送了，理由是送完即止。但是一直显示赠送状态。,1
375,透明机身后盖有灰,1
376,快递包装不行 就一个小盒子  拿过来都坏了。,1
377,小米官网及各网站还在送充电宝，京东居然没有了？是卖的太多了，还是没聊天记录就能不送就不送？,1
378,电池没想象的好，也没宣传的好。,1
379,买了第二天就降200，申请保价都不行说有赠品！想退又嫌麻烦,1
380,用了一个月屏幕就不灵了！呵呵,1
381,后悔的死 卡顿到崩溃  下款绝不买小米,1
382,才用几天手机指纹解锁不灵 &hellip;&hellip;主要是这态度我受不了,1
383,手机wifi问题 没有网速 换个货真慢 不买了,1
384,618隆价那么多，心里不平衡啊，起码送个东西也好，什么都没有,1
385,辣鸡手机，不到两个月就出现两次问题了,1
386,618说赠无线充电宝，结果没收到，只有手机邮过来了,1
387,退货了，不满意。,1
388,屏幕有坏点,1
389,这家店说话不算数的，答应的赠品都没有。钢化膜都没送。,1
390,收到到现在10天，中间掉了300。保价只有7天，血亏。,1
391,这个？刚买了3天？,1
